"Mental Condition","Symptoms","Recommended Treatments","Medications","Dosage","Advanced Remedies"
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups; Somatic experiencing; Medication for anxiety/dissociation","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Sertraline 50mg (Rx - Serenata, Zosert, Daxid); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Sertraline: 50-200mg daily (initial 50mg, increase to 100mg after 1 week; max 200mg; take with food); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 2, V 14] The nonpermanent appearance of happiness and distress... one must learn to tolerate them without being disturbed. Insight: The disaster was a temporary, nonpermanent event. Tolerate (Titiksha) the remaining shock, fear, and dissociation, knowing these too are temporary reactions that will gradually subside with proper healing."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups; Somatic experiencing; Medication for anxiety/dissociation","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Sertraline 50mg (Rx - Serenata, Zosert, Daxid); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Sertraline: 50-200mg daily (initial 50mg, increase to 100mg after 1 week; max 200mg; take with food); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 18, V 40] There is no being existing... which is freed from the three modes of nature. Insight: Accidents and disasters are part of the material world's inherent chaos (modes of nature). Acceptance of this fundamental uncertainty reduces the need to find someone to blame or the sense of unfairness, allowing the focus to shift to recovery."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups; Somatic experiencing; Medication for anxiety/dissociation","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Sertraline 50mg (Rx - Serenata, Zosert, Daxid); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Sertraline: 50-200mg daily (initial 50mg, increase to 100mg after 1 week; max 200mg; take with food); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 16, V 3] The qualities of those who are godly are fearlessness. Insight: The goal of trauma recovery is the cultivation of fearlessness (Abhayam). This is achieved by safely facing the memories and sensations in a controlled therapeutic setting, thereby reducing their power and restoring a sense of agency and trust."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups; Somatic experiencing; Medication for anxiety/dissociation","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Sertraline 50mg (Rx - Serenata, Zosert, Daxid); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Sertraline: 50-200mg daily (initial 50mg, increase to 100mg after 1 week; max 200mg; take with food); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 18, V 66] Abandon all varieties of religion and just surrender unto Me. I shall deliver you from all sinful reactions. Do not fear. Insight: Surrender the overwhelming feeling of helplessness and loss of control to a higher power, trusting in the eventual restoration of order and safety. This surrender can be a powerful source of comfort and resilience."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 2, V 14] The nonpermanent appearance of happiness and distress... one must learn to tolerate them without being disturbed. Insight: The disaster was a temporary, nonpermanent event. Tolerate (Titiksha) the remaining fear knowing it will pass."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 18, V 40] There is no being existing... which is freed from the three modes of nature. Insight: Accidents are part of the material world's chaos (modes of nature). Acceptance reduces the need to find someone to blame or the sense of unfairness."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 16, V 3] The qualities of those who are godly are fearlessness. Insight: The goal of trauma recovery is the cultivation of fearlessness (Abhayam) by facing the memories and sensations in a safe setting."
"Accident/Disaster Trauma","shock; fear; helplessness; loss of trust; dissociation [ICD-10: Z65.5, ICD-11: QE62, DSM-5: V62.82]","Trauma-Focused Cognitive Behavioral Therapy (TF-CBT) - 8-15 sessions; Eye Movement Desensitization and Reprocessing (EMDR) - 6-12 sessions; Critical Incident Stress Debriefing; Support groups","Paroxetine 20mg (Rx - Paxil, Parotab, Xet); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term for anxiety)","Paroxetine: 20-50mg daily (initial 20mg, increase by 10mg every 2 weeks; max 50mg; take in morning); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue)","[Gita, Ch 18, V 66] Abandon all varieties of religion and just surrender unto Me. Insight: Surrender the overwhelming feeling of helplessness and loss of control to a higher power, trusting in the eventual restoration of order."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 3, V 37] It is lust only, which is born of contact with the material mode of passion and later transformed into wrath, and which is the all-devouring sinful enemy of this world. Insight: Addiction is a manifestation of insatiable lust (Kama) for sense gratification; cutting off the desire is the key."
"Addiction/Substance Abuse","craving; loss of control; compulsive use; tolerance; withdrawal [ICD-10: F19.9, ICD-11: 6C4G, DSM-5: 304.90]","Motivational Interviewing; Cognitive Behavioral Therapy (CBT) - 12-24 sessions; Relapse prevention; 12-Step facilitation (AA/NA); Contingency management; Family therapy","Naltrexone 50mg (Rx - Naltima, Nodict, Naltrex); Buprenorphine 8mg (Rx - Bupregesic, Suboxone, Bupren - Schedule X)","Naltrexone: 50mg daily (initiate after detox; max 100mg; monitor liver function); Buprenorphine: 8-24mg daily (initial 2-4mg, titrate to maintenance; sublingual; Schedule X)","[Gita, Ch 2, V 62] While contemplating the objects of the senses, a person develops attachment for them, and from such attachment lust develops, and from lust anger arises. Insight: The craving (lust/Kama) starts with contemplation (Dhyana) of the addictive object. Stop the thought before it becomes a craving."
